2019-07-19 13:02:23.538 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block af2958bc6fcd53212d01f99c24bcf1bdaeb692a71568065dee2b3787314b24ea at height 42
2019-07-19 13:02:23.538 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 0408dab098e6b553f098978daf75d09985f9540769f9106b4ece38411979b304 at height 43
2019-07-19 13:02:23.538 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block ccf5d64693a870441bd0a9a7ef001c58604a6f0f0fd9bf09930650badf2605be at height 44
2019-07-19 13:02:23.538 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 49b55ce6d2c03ac562db9260e833db8e40f3284bd04e4e71b33e70e5f4182abc at height 45
2019-07-19 13:02:23.539 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 596eb6fc27b4875f74b83f264cc9a289ba8930132412b1d95f408ccb1d39d179 at height 46
2019-07-19 13:02:23.539 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 84a4785d881fde74badd2eb39b8c1b7624406bf9b288928c1ea9c1a899ba00fe at height 47
2019-07-19 13:02:23.539 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 6b0bf04a2d412f1286f86673495533989b4b342dcd1edbd6db4dd00beddf8c0d at height 48
2019-07-19 13:02:23.539 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block da4b200cbf4c0ebdbec7ad2cd712089e865b7f24d37ad70448cfdf0151a273d5 at height 49
2019-07-19 13:02:23.549 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 27bc0a2774a597cdd8cc262e37ddd02a9f0d55478847577840e96a15e0135ef6 at height 50
2019-07-19 13:02:23.549 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 0448f1a3f8509d00ea55afed992824e1caf55674232a9f9bd25e25324831bccb at height 51
2019-07-19 13:02:23.549 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block c7f726e3c390efae269166ee66e0f72a67cdf14ce0a36e7a9e6d4f59bebd0487 at height 52
2019-07-19 13:02:23.549 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block dcc5f17292e560eca7105f73e7572ff008ca6017d5797361bde2ba98b44e4367 at height 53
2019-07-19 13:02:23.550 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block fc6dfe9d14e8acdfcb23524fb996c84cf9edb34ecb58e62a32173e87445a5928 at height 54
2019-07-19 13:02:23.550 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 47baa06fa40119b27a19b479ef8978e91ee4c31796cd8b5cf5131062fd515147 at height 55
2019-07-19 13:02:23.550 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block cc03c237ee10dc5c03c4dab909e12928112d37b12658f0b2ad4ef608492cd8ea at height 56
2019-07-19 13:02:23.550 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 8841bb624d559dbd519bece4ff1ad5f2e7d7b461a510aaf141e335d082a4658c at height 57
2019-07-19 13:02:23.550 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 227575bb3dfbbd51b4bdcac7517f0a80543f7b082189abdc1ea2862b17609574 at height 58
2019-07-19 13:02:23.550 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 8683b16d06f21e8de7c6467163ce1037f05adbe2c920dbc0ad99ec33bf41c755 at height 59
