2019-04-23 20:06:12.625 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 51ed6f3a4efade71a07314e2ecd3c70e465b019d6c38f302322f3b66d3829723 at height 58
2019-04-23 20:06:12.625 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 524c8da7090c4bd5568fa60a6970d8428b953d4e93906af6c4b8bdeacb686fd2 at height 59
2019-04-23 20:06:12.625 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block dac26b6de7f8eee9a7d546bf0540767a2c60a83c6e3cf5c1104cfeb9f834174b at height 60
2019-04-23 20:06:12.635 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 0a33a60e5fdb857adbb3aa46e0272a2a4c0dd731eed7b434d4536f9cac0fb5e1 at height 61
2019-04-23 20:06:12.637 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 6ca63b32b7c52b6a839e4632e8235ada897765e6b2f9cf6ebc0258c03ac7dd29 at height 62
2019-04-23 20:06:12.637 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 7ecc5ab0ecab48267109f8ffb5e71ef46d024a9cbda7fcf8530e562c2886cba0 at height 63
2019-04-23 20:06:12.637 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 864bd708efa3694ad2d36fbb4e1b98ef32fbd898127e2f03a7c59785ffe86fc2 at height 64
2019-04-23 20:06:12.637 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 3a77743d068073e4310f4c340dd958baffb6a46ffbe6192d9972138ce851bb78 at height 65
2019-04-23 20:06:12.637 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 034f9445d3552331451df1b170d9f818a242045320506465da9e6d1f6358ee49 at height 66
2019-04-23 20:06:12.637 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 6e1b00419c15377a200b3f9dd25e4bcd3b94a8e94b9abdd3926f35d390b8ba47 at height 67
2019-04-23 20:06:12.637 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 0eedf58f210bc902935a169c1419d5b4c611a1841c15cfac2dffdd1e82aaafa0 at height 68
2019-04-23 20:06:12.638 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block df0cf61b66e67f8e30c745e3c0962603422d4f05d7899dbcaefc662118c37cfd at height 69
2019-04-23 20:06:12.638 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 0edbe0c64a040b839055f7d402c47ed4ce349f1f5e33680fd314bf452a75e9d8 at height 70
2019-04-23 20:06:12.638 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 724586814973ec383065c7f5b1c27b433f8e85ed6e8a64e76344f681fd18fd46 at height 71
2019-04-23 20:06:12.638 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block a3f2f83277442e07e79c996e1301f9dfa0a37a599038dcb10e415285f1c95fff at height 72
2019-04-23 20:06:12.639 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 3df8666b6faa189c65aaa05c1609b264b97ecd7c68405dbffbd7dfc7a63fd359 at height 73
