2019-09-25 23:57:35.285 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 1ac020bd710ed7bd3851e8e1989f5c569130a03b710b3d97bbfa9bca0259201f at height 49
2019-09-25 23:57:35.285 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block dbaef23a6483257b34ee268f0ed581cc806381ef28e42808accabb38f466bac5 at height 50
2019-09-25 23:57:35.287 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 22a55a37455870685c61c4adea6b9a573e4f288d15791a5b775e36ab78b5db59 at height 51
2019-09-25 23:57:35.288 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block b456181d8596fde68d5679ae01e99f08b246be61d66117ca522981a448daa0a1 at height 52
2019-09-25 23:57:35.288 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block ad96d2fba59458ff24baa48110e5afc3d132524469201dc2f8b17359676db3b2 at height 53
2019-09-25 23:57:35.288 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 5af5f47d6020293b55ba2eb7746fd024b00cdca0f236cde87460978a8dd6e94f at height 54
2019-09-25 23:57:35.288 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 2e9589733adedcbdae3ca91f7bd5e105d4f3f7fe97a9d668b66abac54baf6e77 at height 55
2019-09-25 23:57:35.289 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 2ec6dafa24b0bca158e33f862499dd63981c0c46cc2d1a7103eb89ef7f151b5c at height 56
2019-09-25 23:57:35.289 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block cde7b9b0ab8c98d5ebe7ca022a484527b59fdf820475acb0976875c19d7d9bbd at height 57
2019-09-25 23:57:35.289 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 46a499f3aaa45f8005147a6d53a55f6c91c2c13d12d08934f625caa459242e27 at height 58
2019-09-25 23:57:35.289 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 8d73c537d495467d58e930e4e0f056339c5e30916233cccb32a0fbc1ae7ac33d at height 59
